Apps,Platform,Category,# Actions,# Activities,# Screens,Content Labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language
Philosophical terms,Ionic,BOOKS_AND_REFERENCE,124,1,39,0,0,0,0,false,false,false,false,false,1E1991813A840DB7CDBA83ADFA853B3AB7FF52CD263AD54D92EBB73B88BC8D0E,ptbr
Locomotives,Ionic,BOOKS_AND_REFERENCE,92,1,40,0,0,0,0,false,false,false,false,false,3FA394F1BA88977F3E059E3EE8537A3D82723556907B650DB641FB45C55EE06A,ptbr
Philosophers,Ionic,BOOKS_AND_REFERENCE,142,1,40,0,0,0,0,false,false,false,false,false,4B38B96225A9B7E8EDD79896321BA185BCA4426F6ED167B20134FBEAC44A26ED,ptbr
Anatomy of arthropods,Ionic,BOOKS_AND_REFERENCE,124,2,41,0,0,1,0,false,false,false,false,false,1B898D8F6000A79AD19397D02365AE8597DF69AE87D64230B5CAD3180E459ED0,ptbr
AB Brasil,React Native,EDUCATION,78,7,44,3,1,2,1,false,false,true,false,true,2C869D248B7CAE4799F29910D787E743B2B464B1E30487B2D86F3131BCBC5D5D,ptbr
Shotguns,Ionic,BOOKS_AND_REFERENCE,105,2,48,0,0,0,0,false,false,false,false,false,0BF56EA287982123599FD892DBA91D72DB438A9BBEF8E8D43FEABA43A3B156B4,ptbr
True Life,React Native,EDUCATION,160,5,48,3,1,3,0,false,false,true,false,true,2C961A5E8064B3E52FF9AED2D6285ABB159D64EE74C3BF28BB92FCF85CF0B283,ptbr
The Mesozoic,Ionic,BOOKS_AND_REFERENCE,112,1,49,0,0,0,0,false,false,false,false,false,1A35A4ED071DDAEF1A6E250540F19BB380B21AF97BB30887EC73A34694D184FC,ptbr
AB Brasil,React Native,EDUCATION,95,8,49,3,1,7,1,false,false,false,false,true,2C869D248B7CAE4799F29910D787E743B2B464B1E30487B2D86F3131BCBC5D5D,ptbr
ICCM,React Native,LIFESTYLE,102,7,56,6,1,3,1,false,false,false,false,true,2D3A47BFB00A4A83846DA3CF6CC8C223019B2A28F9CFA03E4023C2C850972002,ptbr
Woodlands,React Native,LIFESTYLE,96,3,48,3,9,2,11,true,true,true,false,true,4AB8EF735D91866F53420A66529B41DBECBD5B438D38D3C62CD9B7D2FF5981F9,ing
Shine FM OH,React Native,EDUCATION,174,5,49,2,8,3,10,false,true,true,false,true,0BA6C10466CDCA9F73612EE981BC55056764642C40DCCD305A5D582FE7DB1D05,ing
